month,day,year,temp[c]
2,1,1795,-2.160000000000001
3,1,1795,2.716000000000002
4,1,1795,10.655999999999999
5,1,1795,15.677999999999999
6,1,1795,20.834
7,1,1795,21.447000000000003
8,1,1795,20.377000000000002
9,1,1795,14.734
10,1,1795,9.412999999999998
11,1,1795,2.3220000000000005
12,1,1795,-1.062
1,1,1796,-0.8039999999999993
2,1,1796,-2.976
3,1,1796,-1.9410000000000003
4,1,1796,6.668000000000001
5,1,1796,16.007
6,1,1796,20.924000000000003
7,1,1796,22.391
8,1,1796,22.118
9,1,1796,16.396
10,1,1796,9.432000000000002
11,1,1796,2.3440000000000003
12,1,1796,-3.894
1,1,1797,-2.0050000000000012
2,1,1797,0.0389999999999999
3,1,1797,0.3160000000000017
4,1,1797,8.902999999999999
5,1,1797,16.944000000000003
6,1,1797,21.973000000000003
7,1,1797,22.586
8,1,1797,21.918
9,1,1797,17.777
10,1,1797,10.374
11,1,1797,2.3050000000000006
12,1,1797,-0.7039999999999995
1,1,1798,-2.9999999999999996
2,1,1798,-1.66
3,1,1798,3.6569999999999996
4,1,1798,9.39
5,1,1798,16.464
6,1,1798,20.026999999999997
7,1,1798,23.055
8,1,1798,22.619000000000003
9,1,1798,17.048000000000002
10,1,1798,8.299000000000001
11,1,1798,2.2220000000000004
12,1,1798,-5.729000000000001
1,1,1799,-7.593000000000001
2,1,1799,-8.042
3,1,1799,-0.9749999999999995
4,1,1799,9.427000000000001
5,1,1799,15.745999999999999
6,1,1799,19.986
7,1,1799,22.214999999999996
8,1,1799,21.617
9,1,1799,16.04
10,1,1799,10.035000000000002
11,1,1799,3.8510000000000018
12,1,1799,-5.2509999999999994
1,1,1800,-4.741999999999999
2,1,1800,-3.1410000000000005
3,1,1800,-1.9549999999999992
4,1,1800,11.851
5,1,1800,15.880000000000003
6,1,1800,19.494999999999997
7,1,1800,20.232999999999997
8,1,1800,21.187
9,1,1800,14.602
10,1,1800,9.520999999999999
11,1,1800,4.317999999999999
12,1,1800,-0.8390000000000006
1,1,1801,-3.1070000000000007
2,1,1801,-4.009
3,1,1801,4.287
